scen,iter,col,category,count
pvalloc_LRG3_max_elecpri15rp,1,filter_tag,na,257
pvalloc_LRG3_max_elecpri15rp,1,filter_tag,eastwest_80pr,36
pvalloc_LRG3_max_elecpri15rp,1,filter_tag,south_40pr,42
pvalloc_LRG3_max_elecpri15rp,1,filter_tag,eastwest_70pr,16
pvalloc_LRG3_max_elecpri15rp,2,GKLAS,1122,246
pvalloc_LRG3_max_elecpri15rp,2,GKLAS,1121,55
pvalloc_LRG3_max_elecpri15rp,2,GKLAS,1110,255
pvalloc_LRG3_max_elecpri15rp,2,are_typ,Rural,121
pvalloc_LRG3_max_elecpri15rp,2,are_typ,Suburban,209
pvalloc_LRG3_max_elecpri15rp,2,are_typ,Urban,226
pvalloc_LRG3_max_elecpri15rp,2,heatpump_TF,heatpump,108
pvalloc_LRG3_max_elecpri15rp,2,heatpump_TF,no_heatpump,448
pvalloc_LRG3_max_elecpri15rp,2,filter_tag,na,321
pvalloc_LRG3_max_elecpri15rp,2,filter_tag,south_50pr,71
pvalloc_LRG3_max_elecpri15rp,2,filter_tag,south_40pr,77
pvalloc_LRG3_max_elecpri15rp,2,filter_tag,eastwest_80pr,67
pvalloc_LRG3_max_elecpri15rp,2,filter_tag,eastwest_70pr,20
pvalloc_LRG3_max_elecpri15rp,3,GKLAS,1121,75
pvalloc_LRG3_max_elecpri15rp,3,GKLAS,1110,458
pvalloc_LRG3_max_elecpri15rp,3,GKLAS,1122,299
pvalloc_LRG3_max_elecpri15rp,3,are_typ,Rural,193
pvalloc_LRG3_max_elecpri15rp,3,are_typ,Suburban,292
pvalloc_LRG3_max_elecpri15rp,3,are_typ,Urban,347
pvalloc_LRG3_max_elecpri15rp,3,heatpump_TF,heatpump,142
pvalloc_LRG3_max_elecpri15rp,3,heatpump_TF,no_heatpump,690
pvalloc_LRG3_max_elecpri15rp,3,filter_tag,na,445
pvalloc_LRG3_max_elecpri15rp,3,filter_tag,eastwest_70pr,54
pvalloc_LRG3_max_elecpri15rp,3,filter_tag,south_50pr,106
pvalloc_LRG3_max_elecpri15rp,3,filter_tag,south_40pr,98
pvalloc_LRG3_max_elecpri15rp,3,filter_tag,eastwest_80pr,129
pvalloc_LRG3_max_elecpri15rp,4,GKLAS,1110,613
pvalloc_LRG3_max_elecpri15rp,4,GKLAS,1121,105
pvalloc_LRG3_max_elecpri15rp,4,GKLAS,1122,370
pvalloc_LRG3_max_elecpri15rp,4,are_typ,Urban,422
pvalloc_LRG3_max_elecpri15rp,4,are_typ,Rural,266
pvalloc_LRG3_max_elecpri15rp,4,are_typ,Suburban,400
pvalloc_LRG3_max_elecpri15rp,4,heatpump_TF,heatpump,194
pvalloc_LRG3_max_elecpri15rp,4,heatpump_TF,no_heatpump,894
pvalloc_LRG3_max_elecpri15rp,4,filter_tag,south_40pr,125
pvalloc_LRG3_max_elecpri15rp,4,filter_tag,eastwest_70pr,67
pvalloc_LRG3_max_elecpri15rp,4,filter_tag,eastwest_80pr,116
pvalloc_LRG3_max_elecpri15rp,4,filter_tag,south_50pr,130
pvalloc_LRG3_max_elecpri15rp,4,filter_tag,na,650
pvalloc_LRG3_max_elecpri15rp,5,GKLAS,1110,850
pvalloc_LRG3_max_elecpri15rp,5,GKLAS,1121,158
pvalloc_LRG3_max_elecpri15rp,5,GKLAS,1122,438
pvalloc_LRG3_max_elecpri15rp,5,are_typ,Rural,357
pvalloc_LRG3_max_elecpri15rp,5,are_typ,Suburban,532
pvalloc_LRG3_max_elecpri15rp,5,are_typ,Urban,557
pvalloc_LRG3_max_elecpri15rp,5,heatpump_TF,no_heatpump,1194
pvalloc_LRG3_max_elecpri15rp,5,heatpump_TF,heatpump,252
pvalloc_LRG3_max_elecpri15rp,5,filter_tag,south_50pr,149
pvalloc_LRG3_max_elecpri15rp,5,filter_tag,eastwest_80pr,183
pvalloc_LRG3_max_elecpri15rp,5,filter_tag,na,867
pvalloc_LRG3_max_elecpri15rp,5,filter_tag,eastwest_70pr,70
pvalloc_LRG3_max_elecpri15rp,5,filter_tag,south_40pr,177
pvalloc_LRG3_max_elecpri15rp,6,GKLAS,1122,492
pvalloc_LRG3_max_elecpri15rp,6,GKLAS,1110,1340
pvalloc_LRG3_max_elecpri15rp,6,GKLAS,1121,198
pvalloc_LRG3_max_elecpri15rp,6,are_typ,Urban,776
pvalloc_LRG3_max_elecpri15rp,6,are_typ,Suburban,744
pvalloc_LRG3_max_elecpri15rp,6,are_typ,Rural,510
pvalloc_LRG3_max_elecpri15rp,6,heatpump_TF,no_heatpump,1629
pvalloc_LRG3_max_elecpri15rp,6,heatpump_TF,heatpump,401
pvalloc_LRG3_max_elecpri15rp,6,filter_tag,na,1159
pvalloc_LRG3_max_elecpri15rp,6,filter_tag,eastwest_70pr,94
pvalloc_LRG3_max_elecpri15rp,6,filter_tag,south_40pr,237
pvalloc_LRG3_max_elecpri15rp,6,filter_tag,eastwest_80pr,316
pvalloc_LRG3_max_elecpri15rp,6,filter_tag,south_50pr,224
pvalloc_LRG3_max_elecpri15rp,7,GKLAS,1110,2149
pvalloc_LRG3_max_elecpri15rp,7,GKLAS,1121,217
pvalloc_LRG3_max_elecpri15rp,7,GKLAS,1122,503
pvalloc_LRG3_max_elecpri15rp,7,are_typ,Suburban,974
pvalloc_LRG3_max_elecpri15rp,7,are_typ,Rural,797
pvalloc_LRG3_max_elecpri15rp,7,are_typ,Urban,1098
pvalloc_LRG3_max_elecpri15rp,7,heatpump_TF,heatpump,444
pvalloc_LRG3_max_elecpri15rp,7,heatpump_TF,no_heatpump,2425
pvalloc_LRG3_max_elecpri15rp,7,filter_tag,eastwest_70pr,148
pvalloc_LRG3_max_elecpri15rp,7,filter_tag,south_50pr,361
pvalloc_LRG3_max_elecpri15rp,7,filter_tag,south_40pr,312
pvalloc_LRG3_max_elecpri15rp,7,filter_tag,eastwest_80pr,417
pvalloc_LRG3_max_elecpri15rp,7,filter_tag,na,1631
pvalloc_LRG3_max_elecpri15rp,8,GKLAS,1110,3254
pvalloc_LRG3_max_elecpri15rp,8,GKLAS,1121,332
pvalloc_LRG3_max_elecpri15rp,8,GKLAS,1122,379
pvalloc_LRG3_max_elecpri15rp,8,are_typ,Suburban,1412
pvalloc_LRG3_max_elecpri15rp,8,are_typ,Urban,1602
pvalloc_LRG3_max_elecpri15rp,8,are_typ,Rural,951
pvalloc_LRG3_max_elecpri15rp,8,heatpump_TF,no_heatpump,3371
pvalloc_LRG3_max_elecpri15rp,8,heatpump_TF,heatpump,594
pvalloc_LRG3_max_elecpri15rp,8,filter_tag,south_40pr,531
pvalloc_LRG3_max_elecpri15rp,8,filter_tag,na,2169
pvalloc_LRG3_max_elecpri15rp,8,filter_tag,eastwest_70pr,179
pvalloc_LRG3_max_elecpri15rp,8,filter_tag,eastwest_80pr,583
pvalloc_LRG3_max_elecpri15rp,8,filter_tag,south_50pr,503
pvalloc_LRG3_max_elecpri15rp,9,GKLAS,1122,334
pvalloc_LRG3_max_elecpri15rp,9,GKLAS,1110,4581
pvalloc_LRG3_max_elecpri15rp,9,GKLAS,1121,360
pvalloc_LRG3_max_elecpri15rp,9,are_typ,Suburban,1796
pvalloc_LRG3_max_elecpri15rp,9,are_typ,Urban,2239
pvalloc_LRG3_max_elecpri15rp,9,are_typ,Rural,1240
pvalloc_LRG3_max_elecpri15rp,9,heatpump_TF,heatpump,568
pvalloc_LRG3_max_elecpri15rp,9,heatpump_TF,no_heatpump,4707
pvalloc_LRG3_max_elecpri15rp,9,filter_tag,eastwest_70pr,307
pvalloc_LRG3_max_elecpri15rp,9,filter_tag,eastwest_80pr,834
pvalloc_LRG3_max_elecpri15rp,9,filter_tag,na,2952
pvalloc_LRG3_max_elecpri15rp,9,filter_tag,south_50pr,609
pvalloc_LRG3_max_elecpri15rp,9,filter_tag,south_40pr,573
pvalloc_LRG3_max_elecpri15rp,10,GKLAS,1110,5099
pvalloc_LRG3_max_elecpri15rp,10,GKLAS,1122,199
pvalloc_LRG3_max_elecpri15rp,10,GKLAS,1121,263
pvalloc_LRG3_max_elecpri15rp,10,are_typ,Suburban,1846
pvalloc_LRG3_max_elecpri15rp,10,are_typ,Rural,1210
pvalloc_LRG3_max_elecpri15rp,10,are_typ,Urban,2505
pvalloc_LRG3_max_elecpri15rp,10,heatpump_TF,no_heatpump,5241
pvalloc_LRG3_max_elecpri15rp,10,heatpump_TF,heatpump,320
pvalloc_LRG3_max_elecpri15rp,10,filter_tag,eastwest_80pr,783
pvalloc_LRG3_max_elecpri15rp,10,filter_tag,south_40pr,607
pvalloc_LRG3_max_elecpri15rp,10,filter_tag,south_50pr,651
pvalloc_LRG3_max_elecpri15rp,10,filter_tag,na,3234
pvalloc_LRG3_max_elecpri15rp,10,filter_tag,eastwest_70pr,286
pvalloc_LRG3_max_elecpri60rp,1,GKLAS,1110,159
pvalloc_LRG3_max_elecpri60rp,1,GKLAS,1121,44
pvalloc_LRG3_max_elecpri60rp,1,GKLAS,1122,209
pvalloc_LRG3_max_elecpri60rp,1,are_typ,Urban,170
pvalloc_LRG3_max_elecpri60rp,1,are_typ,Suburban,161
pvalloc_LRG3_max_elecpri60rp,1,are_typ,Rural,81
pvalloc_LRG3_max_elecpri60rp,1,heatpump_TF,heatpump,226
pvalloc_LRG3_max_elecpri60rp,1,heatpump_TF,no_heatpump,186
pvalloc_LRG3_max_elecpri60rp,1,filter_tag,south_50pr,33
pvalloc_LRG3_max_elecpri60rp,1,filter_tag,na,297
pvalloc_LRG3_max_elecpri60rp,1,filter_tag,south_40pr,29
pvalloc_LRG3_max_elecpri60rp,1,filter_tag,eastwest_80pr,35
pvalloc_LRG3_max_elecpri60rp,1,filter_tag,eastwest_70pr,18
pvalloc_LRG3_max_elecpri60rp,2,GKLAS,1121,71
pvalloc_LRG3_max_elecpri60rp,2,GKLAS,1122,218
pvalloc_LRG3_max_elecpri60rp,2,GKLAS,1110,376
pvalloc_LRG3_max_elecpri60rp,2,are_typ,Urban,257
pvalloc_LRG3_max_elecpri60rp,2,are_typ,Suburban,246
pvalloc_LRG3_max_elecpri60rp,2,are_typ,Rural,162
pvalloc_LRG3_max_elecpri60rp,2,heatpump_TF,no_heatpump,465
pvalloc_LRG3_max_elecpri60rp,2,heatpump_TF,heatpump,200
pvalloc_LRG3_max_elecpri60rp,2,filter_tag,na,422
pvalloc_LRG3_max_elecpri60rp,2,filter_tag,south_50pr,65
pvalloc_LRG3_max_elecpri60rp,2,filter_tag,eastwest_80pr,55
pvalloc_LRG3_max_elecpri60rp,2,filter_tag,eastwest_70pr,44
pvalloc_LRG3_max_elecpri60rp,2,filter_tag,south_40pr,79
pvalloc_LRG3_max_elecpri60rp,3,GKLAS,1110,451
pvalloc_LRG3_max_elecpri60rp,3,GKLAS,1122,310
pvalloc_LRG3_max_elecpri60rp,3,GKLAS,1121,92
pvalloc_LRG3_max_elecpri60rp,3,are_typ,Suburban,303
pvalloc_LRG3_max_elecpri60rp,3,are_typ,Urban,357
pvalloc_LRG3_max_elecpri60rp,3,are_typ,Rural,193
pvalloc_LRG3_max_elecpri60rp,3,heatpump_TF,no_heatpump,640
pvalloc_LRG3_max_elecpri60rp,3,heatpump_TF,heatpump,213
pvalloc_LRG3_max_elecpri60rp,3,filter_tag,eastwest_80pr,71
pvalloc_LRG3_max_elecpri60rp,3,filter_tag,na,598
