scen,iter,col,category,count
pvalloc_29nbfs_LRG2_max_sAs4p0,3,heatpump_TF,no_heatpump,975
pvalloc_29nbfs_LRG2_max_sAs4p0,3,filter_tag,south_50pr,126
pvalloc_29nbfs_LRG2_max_sAs4p0,3,filter_tag,south_40pr,225
pvalloc_29nbfs_LRG2_max_sAs4p0,3,filter_tag,eastwest_70pr,132
pvalloc_29nbfs_LRG2_max_sAs4p0,3,filter_tag,eastwest_80pr,368
pvalloc_29nbfs_LRG2_max_sAs4p0,3,filter_tag,na,857
pvalloc_29nbfs_LRG2_max_sAs4p0,4,GKLAS,1121,216
pvalloc_29nbfs_LRG2_max_sAs4p0,4,GKLAS,1122,587
pvalloc_29nbfs_LRG2_max_sAs4p0,4,GKLAS,1110,1521
pvalloc_29nbfs_LRG2_max_sAs4p0,4,are_typ,Suburban,881
pvalloc_29nbfs_LRG2_max_sAs4p0,4,are_typ,Urban,1166
pvalloc_29nbfs_LRG2_max_sAs4p0,4,are_typ,Rural,277
pvalloc_29nbfs_LRG2_max_sAs4p0,4,heatpump_TF,heatpump,622
