n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
17,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
18,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
19,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
20,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
21,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
22,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
23,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
24,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
25,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
26,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
27,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
28,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
29,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
30,564874.3117,390447714.8,61272345.61,0,0,0.861545016,pvalloc_29nbfs_LRG2_max_1hll_sBs0p4
1,0,474738517.7,7255898.447,11519.11109,547,0.038838398,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
2,0,465564967,11007589.43,12813.79363,828,0.097628515,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
3,0,455244242.7,15381727.87,15556.70036,1239,0.185600682,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
4,0,443271769.8,21460910.81,18333.22333,1755,0.310210168,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
5,5246.784395,430086565.7,29524760.23,21137.69613,2248,0.469823914,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
6,20589.85513,416123308.8,39494156.09,23967.01885,2901,0.675802329,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
7,246845.4521,401234056.4,51449988.09,21395.57394,2873,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
8,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
9,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
10,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
11,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
12,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
13,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
14,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
15,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
16,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
17,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
18,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
19,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
20,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
21,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
22,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
23,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
24,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
25,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
26,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
27,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
28,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
29,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
30,903374.5964,389321091.6,62328032.47,0,0,0.879792673,pvalloc_29nbfs_LRG2_max_1hll_sBs0p6
1,0,474752436.7,7249075.381,11538.22768,548,0.038909401,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
2,0,465566782,11005366.63,12817.26681,829,0.09777052,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
3,0,455210270.7,15387080.44,15557.05401,1239,0.185742687,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
4,0,443239360.1,21461558.5,18332.21275,1755,0.310352173,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
5,5217.892942,430070146.2,29535268.65,21140.1213,2250,0.470107924,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
6,20354.49248,416110368.6,39513546.48,23965.98403,2900,0.676015337,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
